id;last;alert;text;forcing;priority
1c;0;1;12-15, равномер или 5+т, 3-б, или 4441б;НФ;0
1c1d;0;1;10-12, 3-M, равномер или 0-7 4-т или 7-11 неравн, минор(ы);Ф;0
1c1d1h;0;0;4+ч;НФ;0
1c1d1h1s;1;0;3+п;НФ;0
1c1d1h1nt;0;0;10-12, 3-M;НФ;0
1c1d1h2c;1;0;5+т;НФ;0
1c1d1h2d;1;0;5+б;НФ;0
1c1d1h2nt;1;1;9(хор)-11, миноры от 5-4;НФ;0
1c1d1h3c;1;0;9-11, 6+т;НФ;0
1c1d1h3d;1;0;9-11, 6+б;НФ;0
1c1d1h1nt2nt;1;1;14-15, 4441п;Ф;0
1c1d1s1nt;0;0;10-12, 3-M;НФ;0
1c1d1s2c;1;0;4+т;НФ;0
1c1d1s2d;1;0;5+б;НФ;0
1c1d1s2h;1;0;5+ч;НФ;0
1c1d1s2nt;1;1;9(хор)-11, миноры от 5-4;НФ;0
1c1d1s3c;1;0;9-11, 6+т;НФ;0
1c1d1s3d;1;0;9-11, 6+б;НФ;0
1c1d1s1nt2nt;1;1;14-15, 4441ч;Ф;0
1c1d1nt2c;1;0;4+т;НФ;0
1c1d1nt2d;1;0;4+б;НФ;0
1c1d1nt2h;1;0;5+ч;НФ;0
1c1d1nt2s;1;0;5+п;НФ;0
1c1d1nt2nt;1;0;10-12, 3-M;НФ;0
1c1d1nt3c;1;0;9-11, 6+т;НФ;0
1c1d1nt3d;1;0;9-11, 6+б;НФ;0
1c1d1s;0;0;4+п;НФ;0
1c1d1nt;0;0;3-M, равн.;НФ;0
1c1d2c;0;0;5+т;НФ;0
1c1d2c2d;1;0;4+б;НФ;0
1c1d2c2h;1;0;5+ч;НФ;0
1c1d2c2s;1;0;5+п;НФ;0
1c1d2c2nt;1;0;10-12, 3-M;НФ;0
1c1d2c3c;1;0;9-11, фит;НФ;0
1c1d2c3d;1;0;9-11, 6+б;НФ;0
1c1h;0;0;7(хор)+, 4+ч;Ф;0
1c1h1s;0;0;4+п;НФ;0
1c1h1s2c;0;1;вопрос;Ф;0
1c1h1s2c2d;0;1;12-13, 2-ч;НФ;0
1c1h1s2c2h;1;1;12-13, 3=ч;НФ;0
1c1h1s2c2s;1;1;14-15, 3=ч;ФГ;0
1c1h1s2c2nt;1;1;14-15, 2-ч;ФГ;0
1c1h1s2c3c;1;1;14-15, 6+т;ФГ;0
1c1h1s2c2d2h;0;0;контракт;К;0
1c1h1s2d;0;1;10-12, 4=ч, равн. или 5=т инвит или 7-9, 6+м;Ф;0
1c1h1s2d3c;0;1;приём инвита;НФ;0
1c1h1s2d3c3d;1;0;7-9, 6+б;К;0
1c1h1s2nt;0;1;ФГ без пятикартных мастей;ФГ;0
1c1h1s2nt3c;1;0;4+т;ФГ;0
1c1h1s2nt3d;1;0;4+б;ФГ;0
1c1h1s3c;1;0;6+т, инвит;НФ;0
1c1h1s3d;1;0;6+б, инвит;НФ;0
1c1h1s3h;1;0;6+ч, инвит;НФ;0
1c1h1nt;0;0;2-3ч, равн.;НФ;0
1c1h1nt2c;0;1;вопрос;Ф;0
1c1h1nt2c2d;0;1;12-13, 2=ч;НФ;0
1c1h1nt2c2h;1;1;12-13, 3=ч;НФ;0
1c1h1nt2c2s;1;1;14-15, 2=ч;ФГ;0
1c1h1nt2c2nt;1;1;14-15, 3=ч;ФГ;0
1c1h1nt2c2d2h;1;0;контракт;К;0
